board_id,current_a,measured_role,relative_time_s,sample_index
f5ea5fa8fcfa5209,0.00119399472,initiator,3.38,169
f5ea5fa8fcfa5209,0.00112661354,initiator,3.4,170
f5ea5fa8fcfa5209,0.00109966708,initiator,3.42,171
f5ea5fa8fcfa5209,0.00120373283,initiator,3.44,172
f5ea5fa8fcfa5209,0.00113286062,initiator,3.46,173
f5ea5fa8fcfa5209,0.00111196205,initiator,3.48,174
f5ea5fa8fcfa5209,0.00120437913,initiator,3.5,175
f5ea5fa8fcfa5209,0.0011312871,initiator,3.52,176
f5ea5fa8fcfa5209,0.0011060122,initiator,3.54,177
f5ea5fa8fcfa5209,0.00122907845,initiator,3.56,178
f5ea5fa8fcfa5209,0.00111885139,initiator,3.58,179
f5ea5fa8fcfa5209,0.00111117292,initiator,3.6,180
f5ea5fa8fcfa5209,0.0012065544,initiator,3.62,181
f5ea5fa8fcfa5209,0.00111499034,initiator,3.64,182
f5ea5fa8fcfa5209,0.00110518603,initiator,3.66,183
f5ea5fa8fcfa5209,0.00121206512,initiator,3.68,184
f5ea5fa8fcfa5209,0.00112178095,initiator,3.7,185
f5ea5fa8fcfa5209,0.00110555675,initiator,3.72,186
f5ea5fa8fcfa5209,0.00119395178,initiator,3.74,187
f5ea5fa8fcfa5209,0.00114062057,initiator,3.76,188
f5ea5fa8fcfa5209,0.00110483012,initiator,3.78,189
f5ea5fa8fcfa5209,0.00119935082,initiator,3.8,190
f5ea5fa8fcfa5209,0.00112242089,initiator,3.82,191
f5ea5fa8fcfa5209,0.00111211669,initiator,3.84,192
f5ea5fa8fcfa5209,0.00121693441,initiator,3.86,193
f5ea5fa8fcfa5209,0.00112845257,initiator,3.88,194
f5ea5fa8fcfa5209,0.00107291681,initiator,3.9,195
f5ea5fa8fcfa5209,0.00113748638,initiator,3.92,196
f5ea5fa8fcfa5209,0.00106678455,initiator,3.94,197
f5ea5fa8fcfa5209,0.00105067702,initiator,3.96,198
f5ea5fa8fcfa5209,0.00114890402,initiator,3.98,199
f5ea5fa8fcfa5209,0.00112803659,initiator,4,200
f5ea5fa8fcfa5209,0.00109667213,initiator,4.02,201
f5ea5fa8fcfa5209,0.00117307787,initiator,4.04,202
f5ea5fa8fcfa5209,0.00115349506,initiator,4.06,203
f5ea5fa8fcfa5209,0.00110725307,initiator,4.08,204
f5ea5fa8fcfa5209,0.00120045014,initiator,4.1,205
f5ea5fa8fcfa5209,0.00115908531,initiator,4.12,206
f5ea5fa8fcfa5209,0.00110633119,initiator,4.14,207
f5ea5fa8fcfa5209,0.00121515221,initiator,4.16,208
f5ea5fa8fcfa5209,0.00117396156,initiator,4.18,209
f5ea5fa8fcfa5209,0.00110923076,initiator,4.2,210
f5ea5fa8fcfa5209,0.00118871073,initiator,4.22,211
f5ea5fa8fcfa5209,0.00116749446,initiator,4.24,212
