dataset,mobility,algorithm,metric,mean,std,runs
wesad,community_dense,pulse,macro_f1,0.8830306113639447,0.03682367399979765,12
wesad,community_sparse,local,accuracy,0.9431818281610806,0.011049374460578396,12
wesad,community_sparse,local,loss,0.11005498273686191,0.027002065189693995,12
wesad,community_sparse,local,macro_f1,0.8618016732722614,0.035448340260531605,12
wesad,community_sparse,oppavg,accuracy,0.9325757662455242,0.00905640480245423,12
wesad,community_sparse,oppavg,loss,0.0965572546779488,0.02489137354307981,12
wesad,community_sparse,oppavg,macro_f1,0.8459710251622016,0.01818410736507,12
wesad,community_sparse,oppfl,accuracy,0.8272727350393931,0.031729510461142654,12
wesad,community_sparse,oppfl,loss,0.454770819697943,0.09466871874270177,12
wesad,community_sparse,oppfl,macro_f1,0.6561039305647148,0.05174707991849844,12
wesad,community_sparse,optimist,accuracy,0.8606060716013113,0.03084907627989973,12
wesad,community_sparse,optimist,loss,0.337566494786491,0.054383570071860066,12
wesad,community_sparse,optimist,macro_f1,0.7564350621381065,0.034126756709223924,12
wesad,community_sparse,pulse,accuracy,0.946212130288283,0.009851133506384752,12
wesad,community_sparse,pulse,loss,0.061643975232921804,0.028813596273218816,12
wesad,community_sparse,pulse,macro_f1,0.8723202596241811,0.03535303286980258,12
wesad,edge_markov_dense,local,accuracy,0.9454545557498931,0.011629130329608602,12
wesad,edge_markov_dense,local,loss,0.10137833196204153,0.017190868678432284,12
wesad,edge_markov_dense,local,macro_f1,0.8663148888148888,0.0367529412326698,12
wesad,edge_markov_dense,oppavg,accuracy,0.9303030396501223,0.009755331934070334,12
wesad,edge_markov_dense,oppavg,loss,0.08668193150078873,0.010376808209635028,12
wesad,edge_markov_dense,oppavg,macro_f1,0.8447432714344479,0.01570331549758531,12
wesad,edge_markov_dense,oppfl,accuracy,0.8712121292948724,0.0326245701860952,12
wesad,edge_markov_dense,oppfl,loss,0.2537389568345148,0.04283200053815708,12
wesad,edge_markov_dense,oppfl,macro_f1,0.7546192551094512,0.05436826440531814,12
wesad,edge_markov_dense,optimist,accuracy,0.8772727380196254,0.031610894501182735,12
wesad,edge_markov_dense,optimist,loss,0.18483780231326816,0.028582395668726883,12
wesad,edge_markov_dense,optimist,macro_f1,0.7686848622510386,0.03653935132075652,12
wesad,edge_markov_dense,pulse,accuracy,0.950757585465908,0.01192156445746975,12
wesad,edge_markov_dense,pulse,loss,0.04055179029310233,0.019591054065688906,12
wesad,edge_markov_dense,pulse,macro_f1,0.884656516323183,0.037775581015170416,12
wesad,edge_markov_sparse,local,accuracy,0.9454545557498931,0.011629130329608602,12
wesad,edge_markov_sparse,local,loss,0.10137833196204153,0.017190868678432284,12
wesad,edge_markov_sparse,local,macro_f1,0.8663148888148888,0.0367529412326698,12
wesad,edge_markov_sparse,oppavg,accuracy,0.9356060713529587,0.012535946873222998,12
wesad,edge_markov_sparse,oppavg,loss,0.09057810522693516,0.01136639720946484,12
wesad,edge_markov_sparse,oppavg,macro_f1,0.8549910737410737,0.02951491786817443,12
wesad,edge_markov_sparse,oppfl,accuracy,0.8272727385163307,0.025121794306739983,12
wesad,edge_markov_sparse,oppfl,loss,0.45265710974733037,0.1255997588047131,12
wesad,edge_markov_sparse,oppfl,macro_f1,0.6557388367805034,0.054075424013571724,12
